address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 698 Joost Avenue,1,2,862,705000,Sunnyside,4
Address: 169 Glenview Drive,1,2,833,708000,Midtown Terrace,5
Address: 8200 Oceanview Terrace #319,1,1,745,400000,Ingleside Heights,3
Address: 300 Berry Street #416,1,1,670,685000,South of Market,3
Address: 300 Ivy Street #303,1,1,679,665000,Hayes Valley,3
Address: 300 Ivy Street #413,1,1,677,709000,Hayes Valley,3
Address: 300 Ivy Street #402,2,2,938,1094500,Hayes Valley,4
Address: 300 Ivy Street #126,2,3,1596,1567000,Hayes Valley,5
Address: 1352 Stevenson Street,1,2,925,784000,South of Market,5
Address: 1080 Sutter Street #403,1,2,750,639000,Downtown,4
Address: 1080 Sutter Street #603,1,2,750,642000,Downtown,3
Address: 1080 Sutter Street #302,2,3,1330,860000,Downtown,4
Address: 1080 Sutter Street #401,2,3,1226,910000,Downtown,4
Address: 1080 Sutter Street #1002,2,2,1330,967000,Downtown,4
Address: 1080 Sutter Street #701,2,3,1225,1007000,Downtown,3
Address: 3047 Fillmore Street #B,1,1,1164,735000,Cow Hollow,4
Address: 3550 Market Street #501,2,2,1099,820000,Twin Peaks,4
Address: 300 Ivy Street #209,2,2,1032,1060000,Hayes Valley,4
Address: 300 Ivy Street #500,2,2,1075,1300000,Hayes Valley,4
Address: 631 Folsom Street #18E,2,2,931,990000,Yerba Buena,5
Address: 1080 Sutter Street #503,1,2,750,649000,Downtown,3
Address: 1080 Sutter Street #204,2,3,1226,877500,Downtown,4
Address: 1080 Sutter Street #602,2,3,1330,917000,Downtown,4
Address: 1080 Sutter Street #801,2,3,1226,1012500,Downtown,4
Address: 3754 Cesar Chavez,1,2,936,1065000,Mission,4
Address: 76 Museum Way,2,2,960,718000,Corona Heights,5
Address: 231 Cole Street,1.5,2,1181,925000,North Panhandle,5
Address: 1622 Great Highway,3,6,3691,1265000,Outer Sunset,12
Address: 616 20th Street #430,1,2,760,760000,Central Waterfront - Dogpatch,4
Address: 1701 Jackson Street #601,2,2,1058,950000,Pacific Heights,5
Address: 2060 Sutter Street #401,2,2,1174,1051500,Lower Pacific Heights,5
Address: 2419 34th Avenue,2,3,1560,925000,Parkside,8
Address: 664 Sweeny Street,1,2,850,650000,Portola,4
Address: 300 Ivy Street #507,2,2,1075,1210000,Hayes Valley,4
Address: 300 Ivy Street #409,2,2,1123,1252000,Hayes Valley,4
Address: 300 Ivy Street #412,2,2,1038,1254000,Hayes Valley,4
Address: 300 Ivy Street #515,2,2,1059,1277000,Hayes Valley,4
Address: 489 Harrison Street #507,3,2,1508,1400000,South Beach,4
Address: 1080 Sutter Street #201,2,3,1226,885000,Downtown,4
Address: 1080 Sutter Street #704,2,3,1226,1285000,Downtown,4
Address: 287 Thrift Street,2,2,1150,650000,Oceanview,6
Address: 94 Eastwood Drive,2,2,1340,1085000,Westwood Park,7
Address: 1804 Ellis Street #71,1,2,816,490000,Western Addition,4
Address: 2140 Bush Street #5,1,1,1969,1622500,Lower Pacific Heights,2
Address: 2488 45th Avenue,1,2,877,599000,Outer Parkside,4
Address: 767 Oak Street,4.5,4,2588,1750000,Hayes Valley,9
Address: 656 5th Avenue,2,3,1543,1200000,Inner Richmond,7
Address: 142 Ewing Terrace,2,2,2040,1725000,Lone Mountain,7
Address: 4032 Irving Street,2,2,1577,700000,Outer Sunset,6
Address: 1250 31st Avenue,3,6,2491,1190000,Central Sunset,6
Address: 1966 Greenwich Street,4,5,3484,1050000,Cow Hollow,4
Address: 1968 Greenwich Street,2.5,3,2418,2650000,Cow Hollow,7
Address: 986 Ingerson Avenue,2,4,2850,632000,Bayview,9
Address: 1500 Newcomb Avenue,1,3,2440,769000,Bayview,10
Address: 2220 Castro Street,4.5,4,3972,3550000,Noe Valley,9
Address: 300 Ivy Street #214,2,2,970,953000,Hayes Valley,4
Address: 616 20th Street #320,1,1,770,695000,Central Waterfront - Dogpatch,4
Address: 721 York Street,3,5,1937,1510000,Mission,10
Address: 1015 Capitol Avenue,3,4,1450,868000,Ingleside,6
Address: 241 Farallones Street,1,3,1893,710000,Oceanview,8
Address: 320 Hearst Avenue,3,4,1700,928000,Sunnyside,7
Address: 475 22nd Avenue,3.5,4,2413,2130000,Central Richmond,6
Address: 670 19th Avenue,1.5,3,1775,1600000,Central Richmond,6
Address: 90 Bayview Street,2,2,1700,679000,Bayview,7
Address: 49 Restani Way,2,3,1540,701000,Outer Mission,6
Address: 4591 18th Street,3,2,1310,1660000,Eureka Valley - Dolores Heights - Castro,6
Address: 4038 23rd Street,1.5,3,1850,2300000,Noe Valley,6
Address: 2751 42nd Avenue,2,4,1500,505000,Outer Parkside,4
Address: 2596 24th Avenue,2,3,1200,1255000,Parkside,10
Address: 3222 Cabrillo Street,5,4,2187,1605000,Outer Richmond,8
Address: 1892 Green Street,2,4,1799,1735000,Cow Hollow,6
Address: 2328 Francisco Street,2,2,1743,1930000,Marina,6
Address: 383 Lombard Street #305,2,2,975,1028000,Telegraph Hill,4
Address: 300 Ivy Street #205,1,1,624,652500,Hayes Valley,3
Address: 300 Ivy Street #407,2,2,916,337500,Hayes Valley,4
Address: 300 Ivy Street #315,2,2,1059,1162000,Hayes Valley,4
Address: 300 Ivy Street #415,2,2,1059,1217000,Hayes Valley,4
Address: 300 Ivy Street #400,2,2,1075,1257000,Hayes Valley,4
Address: 179 Vienna Street,2,2,750,650000,Excelsior,4
Address: 1750 39th Avenue,1,2,1000,595000,Outer Sunset,4
Address: 1612 Church Street,3.5,3,1048,3225000,Noe Valley,8
Address: 200 Brannan Street #314,1,1,732,681000,South Beach,3
Address: 1 Daniel Burnham Court #509,1,1,829,610000,Van Ness - Civic Center,3
Address: 210 Flournoy Street,1,1,750,600000,Outer Mission,4
Address: 1131 Church Street,1,2,1072,961000,Eureka Valley - Dolores Heights - Castro,5
Address: 506 Molimo Drive,2,3,1471,1100000,Miraloma Park,6
Address: 175 Red Rock Way #305K,1,0,650,520000,Diamond Heights,2
Address: 30 West View Avenue,1,2,850,620000,Portola,4
Address: 300 Ivy Street #313,1,1,677,675000,Hayes Valley,3
Address: 300 Ivy Street #309,2,2,1032,1094000,Hayes Valley,4
Address: 2514 23rd Avenue,1,2,1135,781500,Parkside,5
Address: 724 Masonic Avenue,1,2,1236,1280000,North Panhandle,5
Address: 1530 Van Dyke Avenue,2,4,1800,439000,Bayview,7
Address: 1034 Hollister Avenue,3,4,1920,730000,Bayview,9
Address: 2420 Taraval Street,1,2,1560,762000,Parkside,6
Address: 1939 45th Avenue,5,5,5070,1420000,Outer Parkside,10
Address: 817 Ashbury Street,2.5,3,2100,1375000,Parnassus - Ashbury,7
Address: 300 Ivy Street #504,2,2,938,1112000,Hayes Valley,4
Address: 555 4th Street #312,1,1,694,569000,South of Market,4
Address: 1259 Union Street,2,2,1413,1350000,Russian Hill,7
Address: 1343 Guerrero Street,2,3,1600,475000,Mission,9
Address: 1120 Dolores Street,1.5,2,1200,1275000,Eureka Valley - Dolores Heights - Castro,5
Address: 907 Castro Street,1,3,1520,1210000,Noe Valley,5
Address: 620 Sanchez Street,2.5,3,1750,1420000,Eureka Valley - Dolores Heights - Castro,7
Address: 1416 Shrader Street,1.5,3,1634,1375000,Parnassus - Ashbury,6
Address: 3657 Clay Street,2,2,900,780000,Presidio Heights,5
Address: 635 25th Avenue,1,2,1510,819000,Central Richmond,6
Address: 55 Vesta Street,2,3,1455,628000,Silver Terrace,7
Address: 12 Sherwood Court,2,3,1812,1000000,Westwood Highlands,9
Address: 317 Dellbrook Avenue,1,2,1054,825000,Midtown Terrace,5
Address: 200 Amber Drive,2.5,4,2020,1670000,Diamond Heights,8
Address: 460 Vallejo Street,2,2,3900,1650000,Telegraph Hill,6
Address: 501 Beale Street #6B,2,2,1019,1060000,South Beach,4
Address: 616 20th Street #410,1,1,770,689000,Central Waterfront - Dogpatch,4
Address: 616 20th Street #440,1,2,744,709000,Central Waterfront - Dogpatch,4
Address: 631 Folsom Street #7B,2,2,1054,985000,Yerba Buena,5
Address: 1080 Sutter Street #504,2,3,1226,1075000,Downtown,4
Address: 795 Sutter Street #403,2,3,1753,1025000,Downtown,6
Address: 850 Darien Way,2,3,2999,1330000,Mount Davidson Manor,8
Address: 170 Flood Avenue,3,3,1515,835000,Sunnyside,7
Address: 1753 Noe Street,2,4,2000,1650000,Glen Park,7
Address: 300 Ivy Street #304,2,2,1061,977000,Hayes Valley,4
Address: 333 1st Street #1207,2,2,950,1100000,South Beach,4
Address: 616 20th Street #510,1,2,770,765000,Central Waterfront - Dogpatch,4
Address: 616 20th Street #540,1,2,744,775000,Central Waterfront - Dogpatch,4
Address: 701 Minnesota Street #103,1,2,1400,781500,Central Waterfront - Dogpatch,4
Address: 14 Jules Avenue,1,3,1025,535000,Ingleside,5
Address: 280 Carl Street,2,2,1444,1289000,Haight-Ashbury,5
Address: 1323 35th Avenue,2,4,2132,935000,Central Sunset,8
Address: 1201 35th Avenue,4,8,3264,1370000,Central Sunset,13
Address: 1160 Mission Street #1613,2,2,1131,905000,South of Market,4
Address: 279 Vienna Street,1,3,1010,330000,Excelsior,5
Address: 2133 Pine Street,7,9,5085,1550000,Lower Pacific Heights,15
Address: 48 Molimo Drive,2,3,1401,930000,Miraloma Park,6
Address: 144 Brussels Street,1,1,1000,656000,Portola,5
Address: 2434 43rd Avenue,1,2,995,670000,Outer Parkside,5
Address: 1831 Lincoln Way,2,4,2980,1180000,Central Sunset,10
Address: 301 Mission Street #14J,1,1,1245,1550000,South Beach,5
Address: 301 Mission Street #34F,2,2,1601,2075000,South Beach,5
Address: 451 Kansas Street #405,1,1,663,639000,Potrero Hill,3
Address: 616 20th Street #530,1,2,744,784000,Central Waterfront - Dogpatch,4
Address: 250 King Street #630,2,2,1338,1150000,South of Market,4
Address: 840 Powell Street #103,2.5,4,3011,2500000,Nob Hill,8
Address: 3433 22nd Street,1,2,1092,1045000,Mission,5
Address: 39 Lobos Street,2,4,1726,665500,Oceanview,7
Address: 544 Huron Avenue,1,1,250,713000,Outer Mission,7
Address: 300 Eureka Street,1,2,1148,1305000,Eureka Valley - Dolores Heights - Castro,5
Address: 1480 Fulton Street #3,2,2,1344,1227000,North Panhandle,5
Address: 1638 41st Avenue,1,2,1150,775000,Outer Sunset,5
Address: 515 Noriega Street,2,3,1540,1260000,Golden Gate Heights,6
Address: 366 Thornton Avenue,1,2,1300,511000,Silver Terrace,6
Address: 1741 Eucalyptus Drive,2,3,1543,1095000,Lakeshore,7
Address: 534 Dorado Terrace #14,3,2,1332,600000,Mount Davidson Manor,4
Address: 674 45th Avenue,4,5,1963,1175000,Outer Richmond,13
Address: 35 Conrad Street,2,3,1541,1164500,Glen Park,7
Address: 115 Oxford Street,1,2,1225,611000,Portola,6
Address: 601 Van Ness Avenue #810,1,1,672,507500,Van Ness - Civic Center,3
Address: 425 1st Street #1604,1,1,605,650000,South Beach,3
Address: 2225 23rd Street #110,1,1,602,411000,Potrero Hill,3
Address: 1800 Washington Street #112,1,1,796,722000,Pacific Heights,4
Address: 747 Anderson Street,3,4,1970,1356000,Bernal Heights,4
Address: 70 Anderson Street,2,3,1674,1400000,Bernal Heights,7
Address: 11 Wright Street,2.5,3,2191,1500000,Bernal Heights,8
Address: 318 Madrid Street,2,3,1250,590000,Excelsior,11
Address: 261 Thrift Street,1,2,1000,720000,Oceanview,14
Address: 4005 Mission Street #IT1,2,3,1551,760000,Bernal Heights,3
Address: 52 Dorado Terrace,3,4,2188,850000,Mount Davidson Manor,8
Address: 1026 Castro Street,1,2,1128,1330000,Noe Valley,5
Address: 1540 Steiner Street #3,2,2,1061,685000,Western Addition,5
Address: 591 27th Avenue,1,2,900,897000,Central Richmond,4
Address: 1070 Green Street #1501,3.5,3,2465,6875000,Russian Hill,6
Address: 346 Teddy Avenue,2,3,1440,350000,Visitacion Valley,7
Address: 255 Dwight Street,2.5,3,2154,799000,Portola,9
Address: 527 Corbett Avenue,3.5,3,1763,1625000,Twin Peaks,8
Address: 2666 Broadway Street,5.1,5,4862,8650000,Pacific Heights,10
Address: 2322 41st Avenue,2,3,1250,738000,Outer Parkside,4
Address: 2625 Moraga Street,2,3,1450,760000,Central Sunset,6
Address: 77 Van Ness Avenue #504,1,1,950,770000,Van Ness - Civic Center,4
Address: 888 7th Street #L34,1,1,685,655000,South of Market,3
Address: 1388 Gough Street #1106,2,2,1290,950000,Van Ness - Civic Center,5
Address: 81 Santa Marina Street,1,2,750,799000,Bernal Heights,4
Address: 385 Coleridge Street,1,1,1530,1500000,Bernal Heights,9
Address: 3318 Folsom Street,3,4,2170,1605000,Bernal Heights,6
Address: 458 Alvarado Street,3,3,1650,2000000,Eureka Valley - Dolores Heights - Castro,6
Address: 2259 Clay Street,3,3,2613,3800000,Pacific Heights,9
Address: 553 Frederick Street #202,2,2,905,795000,Haight-Ashbury,4
Address: 3448 Balboa Street #2,2,2,1357,760000,Outer Richmond,6
Address: 81 Seal Rock Drive,1,2,1350,1025000,Outer Richmond,6
Address: 3250 Ortega Street,1,3,1370,780000,Outer Sunset,6
Address: 1204 Egbert Avenue,1,2,1855,340000,Bayview,12
Address: 2601 Newhall Street,3,4,1626,710000,Bayview,7
Address: 8300 Oceanview Terrace #413,1,1,665,410000,Ingleside Heights,3
Address: 245 Chester Avenue,3,4,1696,850000,Ingleside Heights,8
Address: 300 Berry Street #602,1,1,728,720000,South of Market,4
Address: 314 Guerrero Street,3.5,9,4434,345000,Mission,18
Address: 653 14th Avenue,1.5,2,1755,1190000,Central Richmond,6
Address: 65 Hermann Street #3,1,1,877,620000,Hayes Valley,4
Address: 1350 Stevenson Street,1,2,925,750000,South of Market,5
Address: 654 Pennsylvania Avenue,1,1,852,750000,Potrero Hill,4
Address: 616 20th Street #240,1,2,748,774000,Central Waterfront - Dogpatch,4
Address: 1001 Pine Street #304,1,1,616,470000,Downtown,3
Address: 230 Prentiss Street,2,2,975,910000,Bernal Heights,7
Address: 366 Niagara Avenue,3,4,1431,500000,Outer Mission,4
Address: 4823 25th Street,2,3,1635,1195000,Noe Valley,6
Address: 2133 Pine Street,7,9,5085,1550000,Lower Pacific Heights,15
Address: 2132 29th Avenue,1,3,1700,825000,Parkside,7
Address: 707 47th Avenue,1,3,2000,850000,Outer Richmond,8
Address: 615 45th Avenue,1,2,1290,1200000,Outer Richmond,6
Address: 631 29th Avenue,2,3,1603,1575000,Central Richmond,6
Address: 1491 40th Avenue,2,3,1270,745000,Outer Sunset,5
Address: 1233 27th Avenue,3,6,2993,1216000,Central Sunset,10
Address: 521 Goettingen Street,2,3,1950,720000,Portola,5
Address: 355 1st Street #1409,2,2,995,1150000,South Beach,4
Address: 10 Miller Place #1602,2,2,1175,1148000,Nob Hill,4
Address: 2511 Polk Street,1,2,1131,601000,Russian Hill,4
Address: 254 Winding Way,1,2,1200,1009000,Crocker Amazon,5
Address: 2273 17th Avenue,2,3,1312,910000,Inner Parkside,5
Address: 227 14th Avenue,3,4,3160,1835000,Central Richmond,10
Address: 33 Pinehurst Way,4,5,3000,1525000,Mount Davidson Manor,7
Address: 83 McAllister Street #208,1,1,518,484000,Van Ness - Civic Center,4
Address: 85 Duboce Avenue #5,1,2,970,550000,Mission,4
Address: 1350 Stevenson Street #A,1,2,925,738000,South of Market,5
Address: 1 Hawthorne Street #5F,1,1,504,600000,Yerba Buena,3
Address: 616 20th Street #220,1,1,770,674000,Central Waterfront - Dogpatch,4
Address: 300 3rd Street #1205,1,1,807,706000,Yerba Buena,3
Address: 1145 Pine Street #43,1,0,390,420000,Downtown,2
Address: 43 Edinburgh Street,1,2,1250,589000,Excelsior,6
Address: 231 Jules Avenue,1,2,1375,650000,Ingleside,5
Address: 57 Hancock Street #1,1,1,811,730000,Eureka Valley - Dolores Heights - Castro,4
Address: 237 Sanchez Street,2,4,1270,1500000,Eureka Valley - Dolores Heights - Castro,5
Address: 28 Prosper Street,2,4,1845,1900000,Eureka Valley - Dolores Heights - Castro,8
Address: 25 Normandie Terrace,4,4,3773,6500000,Pacific Heights,9
Address: 1909 10th Avenue,1,2,841,650000,Golden Gate Heights,4
Address: 2428 14th Avenue,2,4,1958,1180000,West Portal,8
Address: 2486 Fulton Street,2,2,1135,900000,Lone Mountain,4
Address: 350 Cornwall Street,2,3,1272,1350000,Inner Richmond,6
Address: 1886 30th Avenue,2,1,1000,550000,Central Sunset,4
Address: 1414 44th Avenue,1,2,780,665000,Outer Sunset,4
Address: 1674 Kirkwood Avenue #A,3,6,2356,480000,Bayview,10
Address: 1562 Shafter Avenue,2,2,1515,532000,Bayview,7
Address: 410 Foerster Street,1,2,985,585000,Sunnyside,5
Address: 17 San Pablo Avenue,2,3,1512,1150000,St. Francis Wood,6
Address: 175 Red Rock Way #103K,1,0,592,375000,Diamond Heights,2
Address: 1414 Noe Street,1,2,914,875500,Noe Valley,4
Address: 990 Corbett Avenue,3,5,2788,1795000,Twin Peaks,10
Address: 306 Stratford Drive,3.5,4,2059,1252000,Lakeside,8
Address: 101 Crescent Way #2210,2,2,1000,360000,Bayview,5
Address: 370 7th Street #11,3,3,2231,825000,South of Market,4
Address: 766 Harrison Street #705,1,0,329,375000,Yerba Buena,2
Address: 1945 Washington Street #507,2,2,974,803000,Pacific Heights,4
Address: 54 Glover Street,1,1,3060,815000,Russian Hill,9
Address: 2691 37th Avenue,2,3,1410,375000,Outer Parkside,8
Address: 1981 14th Avenue,2,3,1520,1325000,Golden Gate Heights,4
Address: 585 Buena Vista Avenue #W,2,3,1864,1750000,Buena Vista Park,6
Address: 524 27th Avenue,1,2,957,651000,Central Richmond,4
Address: 1290 42nd Avenue,1,2,1076,760000,Outer Sunset,5
Address: 875 Meade Avenue,2,3,1183,499000,Bayview,6
Address: 23 Cityview Way,1,2,937,840000,Midtown Terrace,4
Address: 419 Bright Street,2,3,1388,1068000,Merced Heights,6
Address: 300 Berry Street #306,2,2,1024,1105000,South of Market,5
Address: 628 Rhode Island Street,3,2,1200,1100000,Potrero Hill,4
Address: 86 Wool Street,3.5,4,1890,1500000,Bernal Heights,7
Address: 1632 Dolores Street,3.5,4,2784,2875000,Noe Valley,7
Address: 730 Noe Street,1,2,1208,1120000,Eureka Valley - Dolores Heights - Castro,4
Address: 3965 Sacramento Street,4.5,5,3900,3225000,Presidio Heights,14
Address: 727 48th Avenue,2,3,1328,905000,Outer Richmond,6
Address: 3721 Lincoln Way,1,3,1300,715000,Outer Sunset,6
Address: 950 Darien Way,1,3,1393,911500,Mount Davidson Manor,5
Address: 50 Sunview Drive,2,3,1213,949000,Midtown Terrace,6
Address: 201 North Lake Merced Hills,3,3,1904,800000,Lakeshore,7
Address: 301 Crescent Court #3315,1,1,803,385000,Bayview,3
Address: 325 Berry Street #510,2,2,1441,1175000,South of Market,5
Address: 601 Van Ness Avenue #20,3,2,1205,771000,Van Ness - Civic Center,5
Address: 1160 Mission Street #1114,2,2,1030,900000,South of Market,4
Address: 1409 Kansas Street,1,2,900,760000,Potrero Hill,4
Address: 1452 Bush Street #14,2,2,1091,890000,Van Ness - Civic Center,4
Address: 1701 Jackson Street #309,2,2,1041,1000000,Pacific Heights,4
Address: 3861 19th Street,1,2,1117,1560000,Eureka Valley - Dolores Heights - Castro,6
Address: 69 Uranus Terrace,2,2,2398,2000000,Corona Heights,6
Address: 1825 Turk Street #3,2,3,1256,887500,North Panhandle,5
Address: 2091 28th Avenue,2,3,1315,848000,Parkside,8
Address: 1347 41st Avenue,1,3,1300,785000,Outer Sunset,6
Address: 3311 Fillmore Street #203,1,1,625,585000,Marina,2
Address: 40 Farview Court,2,3,1270,889000,Midtown Terrace,6
Address: 3806 19th Avenue,3,3,1375,749500,Lakeside,6
Address: 166 Springfield Drive,2,2,1435,885000,Lakeshore,5
Address: 999 Green Street #3103,1,1,971,1495000,Russian Hill,3
Address: 77 Dow Place #908,1.5,1,1022,500000,Yerba Buena,4
Address: 1658 Florida Street,3,7,2801,850000,Bernal Heights,12
Address: 156 27th Avenue,1.5,2,1190,1525000,Lake,6
Address: 212 Sweeny Street,1,2,1187,665000,Portola,5
Address: 374 11th Street #5,2.5,2,1771,982000,South of Market,6
Address: 52 Rausch Street #101,1,1,703,4650000,South of Market,3
Address: 200 Brannan Street #207,2,2,1525,1300000,South Beach,7
Address: 784 Wisconsin Street,2,3,1929,1450000,Potrero Hill,5
Address: 1483 Sutter Street #807,2,2,1158,799000,Van Ness - Civic Center,5
Address: 1245 Lombard Street,2.5,4,1490,2400000,Russian Hill,7
Address: 37 Rutledge Street,1,2,900,700000,Bernal Heights,5
Address: 246 Bocana Street,1,2,1200,1110000,Bernal Heights,5
Address: 627 Athens Street,1,2,1125,650000,Excelsior,6
Address: 146 Beaver Street,1,1,839,850000,Corona Heights,4
Address: 2945 Pacific Avenue #2,1,1,1225,946000,Pacific Heights,5
Address: 1987 29th Avenue,2,2,1343,820000,Parkside,5
Address: 584 Dewey Boulevard,2.25,3,2282,184000,Forest Hill,8
Address: 389 Upper Terrace,4.5,4,1858,2900000,Parnassus - Ashbury,9
Address: 473 Parker Avenue,4.5,6,4000,3500000,Lone Mountain,12
